ID        P      Q     
204388640  6.41   0.95   
204395393  5.952  0.891  
204397408  1.645  0.593  
204398857  13.158 0.211  
204399980  2.907  0.98   
204401119  1.786  0.779
204409463  1.761  0.471  
204413641  1.969  0.462  
204428864  3.623  0.889
204434363  1.592  0.414  
204435866  1.397  0.650
204440603  0.0    1.0    
204447221  9.615  0.203  
204449274  1.553  0.833  
204467371  1.812  0.124  
204467584  2.066  0.607  
204469637  4.902  0.902  
204472612  1.923  0.945  
204487447  6.757  0.933  
204489514  1.701  0.832  
204495624  1.969  0.2    
204496657  1.799  0.753  
204501712  2.033  0.117  
204508462  1.582  0.842  
204512343  7.813  0.88   
204530046  1.969  0.855  
204538777  1.479  0.818
204565982  1.553  0.782
204578601  1.712  0.676  
204584778  1.736  0.465
204602441  3.289  0.956
204607034  1.969  0.897
204615647  7.813  0.774  
204630363  6.579  0.471  
204637622  1.05   0.463
204638512  5.0    0.905  
204651122  1.603  0.801
204662993  0.494  1.009  
204757338  2.381  0.862  
204769599  1.645  0.417
204776782  1.923  0.529  
204807722  2.174  0.651  
204810161  1.656  0.741  
204811478  1.701  0.732  
204817605  9.259  0.021  
204830786  0.0    1.0    
204832936  4.237  0.307  
204856535  0.0    1.0
204860656  1.908  0.347  
204864076  3.906  0.842  
204870258  0.0    1.0    
204871202  1.634  0.905  
204871862  1.613  0.907
204874314  0.0    1.0    
204894208  1.701  0.788  
204906020  3.521  0.931  
204908189  19.231 0.762  
204932990  2.315  0.752  
204933717  1.553  0.759  
204939243  5.952  0.846  
204940701  1.773  0.855
204964091  3.906  0.19   
204982702  2.404  0.609  
205000676  3.205  0.239  
205008727  0.0    1.0    
205024407  3.012  0.147  
205037578  4.717  0.87   
205038557  3.846  0.086  
205051240  5.319  0.332  
205061092  0.0    1.0    
205063210  2.427  0.304  
205064383  2.0    0.961  
205068630  2.0    0.927  
205080616  5.319  0.679
205088645  0.0    1.0 
205092303  1.724  0.68   
205110000  7.143  0.902  
205115701  2.551  0.882  
205145188  1.761  0.757
205151387  10.0   0.59   
205152244  1.812  0.212
205154017  6.944  0.073  
205156547  0.0    1.0    
205158239  4.717  0.872  
205160565  0.0    1.0      
205164892  6.579  0.137  
205164999  1.323  0.976  
205165965  1.799  0.734
205179845  2.604  0.737
205182200  3.247  0.822 
205198363  1.908  0.791  
205208701  0.906  0.709
205218826  3.378  0.872 
205238942  9.259  0.566  
205241182  2.137  0.82   
205249328  0.0    1.0      
205345560  0.0    1.0  
205364526  2.907  0.221  
205366676  3.676  0.199  
205375290  6.098  0.21   
205383125  2.033  0.688
205519771  4.902  0.943  
210282528  2.212  0.281  
203604427  0.0    1.0
203950167  8.333  0.939  
204211116  2.155  0.884  
204268916  1.748  0.416  
204360807  5.102  0.869  
204408707  3.289  0.678  
204514546  7.813  0.893  
205684783  3.289  0.704  
210282534  3.125  0.826  
204161056  0.0    1.0
204187469  5.952  0.751
204206295  14.706 0.45
204951022  0.969  0.836
204449389  1.866  0.548
204611292  1.773  0.185
203893434  0.0    1.0
203893891  3.968  0.565
203912136  1.412  0.769
203917608  2.577  0.713 
203926424  4.167  0.883
203946909  2.101  0.844
204094503  1.656  0.603
204397879  3.676  0.394
204581550  1.908  0.78
205086621  1.748  0.731
205091879  0.365  0.579
